REGISTRATION_DATE,44,88,45,46,47,48,49,50,51,52,53,10,54,11,55,12,56,13,57,14,58,15,59,16,17,18,19,1,2,3,4,5,6,7,8,9,60,61,62,63,20,64,21,65,22,66,23,67,24,68,25,69,26,27,28,29,70,71,72,73,30,74,31,75,32,76,33,77,34,78,35,79,36,37,38,39,80,81,82,83,40,84,41,85,42,86,43,87
3/14/2017,5,1,6,,18,26,7,18,2,9,,,7,4,4,9,,22,29,7,1,11,2,3,18,89,8,2,11,,2,2,6,,5,29,5,1,,3,1,2,25,5,11,,14,9,2,1,34,4,1,,20,26,22,17,16,2,2,2,46,8,3,51,3,33,,13,,1,5,1,1,7,11,5,2,17,1,1,3,4,4,2,8,2
10/6/2017,24,2,18,4,26,56,3,39,6,53,1,6,14,4,12,13,3,30,102,4,1,5,8,9,10,163,3,6,16,6,14,9,5,4,5,43,6,4,7,3,3,8,44,13,10,7,43,40,32,,128,5,4,1,10,32,25,2,14,6,11,3,128,4,12,70,3,98,2,37,6,14,11,6,5,17,10,7,,53,3,23,13,67,10,2,17,48
8/19/2018,,,4,1,4,3,1,2,1,6,1,,1,1,2,2,,11,15,1,,1,6,,,39,1,,1,3,,,3,1,,19,1,1,1,,1,,8,4,2,1,3,6,1,1,26,,1,,2,3,3,,1,,1,8,22,4,2,26,,7,,13,1,1,1,,,1,3,,,16,,,1,3,,,7,5
3/13/2019,1,,7,5,12,42,1,23,5,20,,,2,5,6,6,,29,38,2,1,4,3,,5,136,,,1,1,21,4,3,2,1,25,1,2,2,,4,1,17,3,16,,19,9,1,3,83,3,,1,4,24,14,,10,6,3,5,29,,8,28,,38,,23,1,2,2,1,1,3,4,1,,21,2,3,7,11,2,5,7,2
6/15/2019,,,6,3,7,6,2,7,8,7,,1,3,2,8,5,,16,35,2,,2,2,,2,33,1,,4,2,,1,2,,1,15,,1,2,1,1,2,8,4,1,,6,10,,2,25,1,3,1,4,28,2,1,2,2,,6,51,,3,28,2,27,,8,,4,6,2,3,,5,,,21,6,,3,3,1,1,3,10
11/15/2019,2,,2,1,16,42,1,5,4,5,,,7,3,14,6,2,36,41,3,,11,2,,1,74,1,,,,,4,5,6,1,8,1,,2,2,3,1,27,2,,1,16,11,,4,4,3,4,,6,14,6,5,1,4,,5,82,1,3,34,2,33,31,16,4,6,5,2,3,4,,,,23,,,8,15,,2,10,5
4/12/2020,,,6,1,4,5,1,7,2,11,1,1,2,,5,3,,20,7,,,3,2,,3,102,,1,2,,3,,1,,1,24,3,1,1,,,,7,2,4,,10,6,,2,32,,,,4,3,4,1,1,1,2,,15,,4,24,1,20,,2,1,,,1,,3,8,1,,7,,1,1,7,2,1,11,12
9/12/2020,3,1,36,6,48,113,14,44,11,58,2,3,12,12,28,24,2,119,102,7,3,15,11,3,11,273,8,1,13,4,13,2,13,6,9,175,20,1,6,5,9,4,53,20,13,1,66,30,2,7,642,2,6,5,15,46,46,20,5,11,6,6,312,10,25,134,2,153,2,79,10,22,12,7,10,10,16,8,,80,7,6,5,27,10,8,43,42
8/29/2020,6,1,34,2,35,66,3,46,12,37,3,1,6,8,20,24,4,86,120,4,,15,9,2,7,267,1,2,14,14,14,12,8,12,8,73,10,,7,3,4,4,40,18,10,4,58,37,5,8,335,3,5,1,23,39,40,12,6,6,3,7,149,3,14,126,7,96,2,66,8,22,6,4,8,17,12,5,,51,1,7,9,35,7,7,36,44
6/1/2020,9,2,71,6,41,38,5,26,5,50,1,12,7,4,15,11,1,50,77,10,,3,5,4,21,219,2,40,4,2,10,6,7,19,7,70,35,,6,4,5,27,46,7,4,42,34,15,1,5,96,4,6,,15,24,25,5,3,6,11,72,94,1,15,101,4,114,3,53,4,16,6,3,3,12,24,3,3,59,9,2,11,17,7,6,25,48
6/29/2019,,1,1,2,8,8,1,5,5,2,,,2,2,9,6,,21,37,2,,3,3,1,3,39,,,2,1,2,3,1,2,1,12,5,,,1,5,1,7,2,1,,8,9,,3,21,4,2,2,3,23,4,3,1,4,3,3,32,,5,27,2,24,,18,1,1,4,,1,2,5,,2,20,2,1,3,7,3,1,8,13
9/26/2019,19,,27,2,65,99,10,21,6,39,3,2,4,5,19,20,,45,77,10,,13,16,2,7,503,,,6,8,7,15,3,29,19,51,9,2,4,2,3,7,59,6,15,2,65,38,5,6,204,3,7,,12,39,90,8,6,12,10,8,126,3,14,84,2,75,2,30,5,8,9,3,1,6,10,9,,62,3,20,3,55,10,5,20,35
8/22/2020,31,13,131,21,196,219,29,135,46,125,13,16,47,34,82,99,7,341,326,40,10,56,30,17,55,1318,30,17,71,25,63,28,37,46,42,522,65,10,25,12,32,14,146,57,52,20,255,121,23,31,703,15,18,14,56,127,177,82,46,68,29,44,409,44,86,544,14,384,10,225,40,61,34,22,11,79,71,26,14,161,18,52,50,132,33,17,164,178
5/11/2020,2,,3,,19,31,1,4,,16,1,,3,2,1,3,,7,18,3,,1,,,7,31,4,,1,,2,,1,1,2,28,1,,1,,2,,24,3,,,11,18,,,14,,1,,2,2,28,,2,,,1,17,7,3,18,2,25,,5,7,1,,,,23,7,,,15,,,3,4,1,,31,7
10/25/2019,1,2,2,3,16,35,2,12,7,31,,2,3,3,5,16,,30,56,5,,4,,1,3,150,1,,1,2,3,1,2,5,2,58,6,,4,,3,2,13,5,1,2,18,17,1,6,16,2,4,,6,18,6,6,,8,3,3,44,4,8,42,2,43,,23,6,5,1,2,3,3,6,,,27,2,,4,13,2,,7,26
7/14/2019,1,,6,1,3,2,1,3,5,3,,,1,,,4,,10,20,1,,1,,,1,24,1,,1,1,,,2,,3,14,1,,3,1,1,,5,4,,,2,2,,,23,1,1,,,5,2,1,,,2,,9,,6,12,,4,,9,1,,1,1,1,,,,2,5,,,2,2,,,1,8
10/24/2018,2,,8,3,11,30,,20,4,15,,1,5,1,8,8,,22,37,2,1,9,4,,1,80,3,,3,3,1,3,5,5,3,65,1,3,2,2,6,,9,5,2,2,24,17,,2,34,1,7,,2,16,18,3,2,1,2,,47,4,6,47,1,24,1,16,5,4,5,1,2,11,9,,,26,1,1,3,10,4,2,14,23
4/1/2018,,1,5,2,8,4,2,2,2,1,,1,1,,6,3,,9,12,,,1,1,,1,26,1,1,,1,,1,1,1,,11,1,,,,1,,10,3,,,5,,,,24,,,,3,7,5,6,1,,1,5,9,,1,14,,11,,10,,3,1,1,,2,4,,1,10,,,,2,2,,6,10
2/6/2019,7,3,7,2,8,19,4,3,5,17,5,1,1,2,5,18,,25,25,2,,4,5,3,4,131,4,1,5,3,1,2,4,3,1,16,6,1,4,1,6,1,26,3,10,,17,10,2,9,175,1,1,,8,16,17,7,3,3,2,1,38,2,7,44,2,18,,9,4,10,2,3,2,9,4,1,,15,1,1,6,8,9,7,15,9
7/15/2018,1,2,11,3,11,8,4,9,2,6,,2,4,4,9,6,,24,21,2,,3,3,2,1,57,1,2,2,1,5,1,,,5,40,,,1,,,,17,3,5,1,15,6,2,1,59,2,,,4,18,7,1,3,1,,2,36,3,4,19,,26,,9,,5,2,,,1,4,2,,22,,1,,5,2,2,9,4
11/18/2016,1,1,5,17,5,22,2,3,5,20,1,,5,,4,5,,15,33,3,,8,2,1,1,64,,,1,,,,5,4,1,18,5,,5,2,1,1,14,3,2,2,14,6,,1,13,3,3,,2,13,4,5,2,6,,1,43,1,4,32,1,28,,18,36,5,,3,1,1,3,,,10,3,,10,3,4,,8,7
6/12/2017,15,5,28,9,44,47,1,5,7,10,4,9,,4,20,7,,15,36,1,2,3,3,,6,107,1,2,5,4,1,6,3,6,3,30,18,2,1,1,1,6,41,4,13,2,13,14,1,41,111,,1,1,1,16,,15,10,4,3,4,48,18,6,36,1,38,1,16,,6,2,1,2,4,4,8,2,18,,1,2,21,6,5,24,8
9/7/2017,12,1,23,13,31,22,2,9,3,44,1,1,3,3,7,10,,29,38,7,,3,2,2,6,118,10,1,2,1,30,2,2,2,5,58,8,2,4,,,2,22,1,3,7,17,14,,1,248,2,4,6,5,15,6,2,8,4,2,6,49,,13,33,3,39,1,25,1,5,2,,2,4,7,2,1,27,3,1,6,11,3,,6,23
2/13/2017,23,3,13,2,40,21,,22,1,3,1,4,5,8,2,6,,8,20,3,,4,,2,,75,9,2,4,1,15,,4,1,2,22,17,,4,4,,2,19,6,3,5,10,3,2,1,53,4,1,,,11,4,16,,4,10,4,37,,3,24,,29,1,5,,8,2,1,1,1,4,1,,15,1,,2,13,1,2,1,2
12/25/2019,,,2,,,1,1,,,1,,,4,,,2,1,2,1,,,2,1,,,8,,,,,,,,1,1,4,1,,,,,,4,,,,,,,,14,,,,2,3,,,,1,,,7,,,1,,3,,1,,,2,,,,1,,,1,,,,1,1,,4,3
3/3/2020,,1,18,5,50,55,8,20,12,47,3,3,12,5,23,13,2,69,71,3,1,16,5,1,4,281,16,,4,3,3,7,6,2,10,74,7,,5,1,3,1,29,9,7,2,38,17,1,6,341,1,5,3,18,30,39,10,5,11,4,,113,1,16,104,14,69,,40,1,8,9,6,6,10,11,3,,47,4,4,4,18,18,2,60,23
9/11/2019,6,6,7,7,35,35,4,17,6,14,,2,7,3,16,20,5,41,61,2,,8,1,1,3,280,4,3,12,4,22,21,2,17,2,76,7,,7,4,6,1,31,21,14,1,24,26,,4,244,1,7,21,9,23,11,12,9,7,2,5,50,1,10,60,3,104,,42,,8,6,2,2,5,4,12,2,36,1,5,9,27,9,5,25,34
6/16/2020,,2,15,13,15,41,4,18,3,16,1,3,6,4,12,20,3,37,64,3,2,9,19,,4,234,12,15,4,19,56,6,3,5,4,94,5,28,4,2,5,,45,2,1,,31,14,2,1,61,6,8,,13,23,11,7,8,6,21,1,101,1,7,72,2,18,,17,,11,2,3,4,15,10,6,1,31,2,6,8,18,5,2,65,10
