rank,name,pop2021
457,Walton Hills,2245
459,New Concord,2215
458,Chesterland,2215
460,Green Meadows,2213
461,Elmwood Place,2205
462,Glendale,2195
463,Windham,2192
464,Gates Mills,2189
465,Creston,2176
466,Jamestown,2174
467,Woodsfield,2173
469,Spencerville,2145
468,Brewster,2145
470,South Zanesville,2119
471,Piketon,2114
472,Cardington,2103
473,Columbus Grove,2075
474,New Boston,2073
475,Drexel,2064
476,Coal Grove,2054
477,Rosemount,2053
478,West Hill,2033
479,St. Paris,2020
480,Newburgh Heights,2019
481,Leipsic,2014
482,Lithopolis,2012
483,Edgerton,2011
484,Bellville,2001
486,South Bloomfield,1999
485,Choctaw Lake,1999
487,Batavia,1993
488,Woodville,1990
489,Valley View,1989
490,Arcanum,1982
491,Loveland Park,1974
492,Camden,1961
493,Manchester,1955
494,Masury,1921
495,Dalton,1892
496,Bradford,1874
497,Lake Mohawk,1872
498,Glenmoor,1853
499,Five Points,1849
500,Roseville,1843
