,date,Adams,Allen,Ashland,Ashtabula,Athens,Auglaize,Belmont,Brown,Butler,Carroll,Champaign,Clark,Clermont,Clinton,Columbiana,Coshocton,Crawford,Cuyahoga,Darke,Defiance,Delaware,Erie,Fairfield,Fayette,Franklin,Fulton,Gallia,Geauga,Greene,Guernsey,Hamilton,Hancock,Hardin,Harrison,Henry,Highland,Hocking,Holmes,Huron,Jackson,Jefferson,Knox,Lake,Lawrence,Licking,Logan,Lorain,Lucas,Madison,Mahoning,Marion,Medina,Meigs,Mercer,Miami,Monroe,Montgomery,Morgan,Morrow,Muskingum,Noble,Ottawa,Paulding,Perry,Pickaway,Pike,Portage,Preble,Putnum,Richland,Ross,Sandusky,Scioto,Seneca,Shelby,Stark,Summit,Trumbull,Tuscarawas,Union,Van Wert,Vinton,Warren,Washington,Wayne,Williams,Wood,Wyandot
1195,10/8/2019,1.0,2.0,9.0,3.0,11.0,8.0,6.0,5.0,32.0,2.0,4.0,10.0,41.0,2.0,11.0,1.0,6.0,104,14.0,1.0,23.0,4.0,21.0,8.0,55.0,3.0,11.0,5.0,27.0,0.0,74.0,12.0,2.0,4.0,3.0,2.0,1.0,2.0,3.0,6.0,2.0,1.0,20.0,2.0,7.0,2.0,18.0,49.0,4.0,12.0,2.0,12.0,1.0,4.0,6.0,1.0,44.0,1.0,9.0,2.0,0.0,3.0,0.0,3.0,7.0,3.0,10.0,3.0,0.0,13.0,4.0,0.0,10.0,6.0,2.0,53.0,59.0,24.0,9.0,8.0,1.0,0.0,39.0,1.0,12.0,2.0,23.0,1.0
1196,5/28/2020,2.0,30.0,17.0,17.0,3.0,9.0,30.0,2.0,33.0,1.0,7.0,20.0,32.0,1.0,4.0,1.0,8.0,83,4.0,6.0,17.0,49.0,12.0,1.0,63.0,5.0,0.0,6.0,17.0,2.0,69.0,9.0,7.0,0.0,7.0,9.0,4.0,3.0,12.0,6.0,5.0,6.0,14.0,0.0,36.0,2.0,18.0,42.0,5.0,28.0,8.0,12.0,0.0,10.0,11.0,0.0,55.0,11.0,2.0,4.0,0.0,5.0,1.0,13.0,11.0,0.0,23.0,4.0,0.0,14.0,3.0,5.0,4.0,46.0,2.0,65.0,60.0,25.0,10.0,18.0,0.0,0.0,36.0,25.0,9.0,3.0,21.0,0.0
1197,9/10/2020,13.0,46.0,37.0,50.0,18.0,16.0,25.0,26.0,285.0,3.0,19.0,58.0,139.0,13.0,21.0,10.0,26.0,881,9.0,14.0,89.0,43.0,137.0,13.0,292.0,13.0,11.0,51.0,103.0,4.0,257.0,34.0,11.0,2.0,15.0,18.0,17.0,17.0,106.0,8.0,23.0,22.0,105.0,9.0,91.0,10.0,190.0,115.0,16.0,98.0,14.0,113.0,6.0,17.0,55.0,2.0,186.0,4.0,12.0,42.0,3.0,19.0,9.0,5.0,26.0,14.0,105.0,18.0,9.0,106.0,31.0,23.0,16.0,41.0,11.0,251.0,216.0,132.0,27.0,24.0,30.0,7.0,128.0,14.0,48.0,27.0,109.0,7.0
1198,6/25/2019,0.0,9.0,1.0,22.0,7.0,5.0,11.0,2.0,21.0,2.0,4.0,7.0,24.0,5.0,4.0,11.0,2.0,158,3.0,4.0,25.0,6.0,29.0,2.0,163.0,3.0,13.0,1.0,23.0,2.0,60.0,26.0,2.0,0.0,4.0,1.0,3.0,2.0,5.0,1.0,2.0,20.0,23.0,0.0,32.0,28.0,14.0,25.0,2.0,23.0,2.0,21.0,1.0,2.0,8.0,0.0,56.0,0.0,3.0,3.0,0.0,2.0,1.0,7.0,1.0,0.0,14.0,0.0,1.0,31.0,1.0,7.0,4.0,5.0,0.0,48.0,63.0,25.0,1.0,7.0,2.0,3.0,30.0,1.0,19.0,0.0,17.0,1.0
1199,10/18/2017,1.0,0.0,1.0,2.0,4.0,4.0,1.0,3.0,36.0,0.0,3.0,7.0,16.0,6.0,5.0,0.0,2.0,71,2.0,2.0,27.0,1.0,27.0,7.0,22.0,3.0,0.0,6.0,11.0,1.0,70.0,4.0,0.0,0.0,4.0,3.0,1.0,0.0,6.0,2.0,0.0,4.0,14.0,2.0,3.0,2.0,12.0,12.0,0.0,18.0,3.0,10.0,1.0,4.0,4.0,2.0,41.0,0.0,1.0,0.0,0.0,3.0,1.0,1.0,4.0,0.0,12.0,0.0,3.0,10.0,1.0,0.0,2.0,1.0,4.0,21.0,26.0,19.0,3.0,3.0,0.0,0.0,26.0,2.0,10.0,1.0,5.0,1.0
1200,5/2/2017,3.0,9.0,1.0,3.0,7.0,5.0,1.0,8.0,31.0,2.0,4.0,18.0,22.0,5.0,7.0,0.0,6.0,311,7.0,4.0,25.0,15.0,26.0,2.0,23.0,5.0,1.0,16.0,26.0,6.0,115.0,9.0,1.0,0.0,3.0,2.0,1.0,1.0,1.0,1.0,8.0,6.0,28.0,1.0,42.0,3.0,13.0,19.0,0.0,34.0,4.0,13.0,0.0,15.0,13.0,0.0,44.0,2.0,2.0,6.0,0.0,3.0,2.0,7.0,7.0,1.0,29.0,8.0,2.0,38.0,6.0,0.0,11.0,5.0,1.0,41.0,40.0,30.0,4.0,3.0,0.0,2.0,40.0,11.0,4.0,2.0,11.0,1.0
1201,3/1/2019,1.0,5.0,15.0,1.0,2.0,5.0,7.0,2.0,24.0,0.0,5.0,8.0,20.0,3.0,7.0,0.0,4.0,102,3.0,13.0,19.0,6.0,20.0,0.0,35.0,1.0,1.0,2.0,26.0,3.0,120.0,13.0,1.0,0.0,4.0,1.0,1.0,6.0,3.0,2.0,4.0,1.0,5.0,3.0,13.0,2.0,10.0,72.0,3.0,2.0,7.0,13.0,0.0,5.0,9.0,0.0,36.0,3.0,4.0,1.0,1.0,2.0,0.0,5.0,6.0,0.0,10.0,1.0,2.0,6.0,1.0,2.0,5.0,4.0,1.0,38.0,28.0,29.0,3.0,3.0,3.0,0.0,38.0,17.0,9.0,2.0,22.0,1.0
1202,3/9/2018,3.0,2.0,10.0,4.0,4.0,6.0,22.0,1.0,26.0,2.0,6.0,17.0,27.0,10.0,5.0,2.0,6.0,173,1.0,8.0,47.0,16.0,19.0,2.0,176.0,7.0,1.0,9.0,24.0,1.0,115.0,14.0,2.0,4.0,2.0,7.0,1.0,2.0,6.0,1.0,25.0,4.0,28.0,0.0,17.0,4.0,14.0,45.0,9.0,30.0,10.0,8.0,0.0,13.0,18.0,1.0,65.0,0.0,8.0,10.0,1.0,8.0,0.0,6.0,17.0,5.0,30.0,13.0,1.0,57.0,9.0,16.0,6.0,7.0,1.0,52.0,57.0,32.0,5.0,21.0,2.0,1.0,50.0,4.0,25.0,6.0,23.0,3.0
1203,3/26/2017,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,4.0,0.0,0.0,2.0,10.0,0.0,0.0,0.0,0.0,19,0.0,0.0,5.0,2.0,3.0,0.0,14.0,0.0,0.0,1.0,3.0,0.0,8.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,1.0,1.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,10.0,7.0,9.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,1.0,0.0
1204,8/7/2018,1.0,23.0,19.0,3.0,4.0,0.0,5.0,6.0,54.0,5.0,3.0,12.0,43.0,9.0,8.0,8.0,7.0,267,14.0,4.0,487.0,7.0,32.0,0.0,329.0,9.0,36.0,16.0,31.0,7.0,86.0,11.0,1.0,4.0,1.0,5.0,2.0,5.0,15.0,2.0,6.0,9.0,17.0,0.0,210.0,5.0,204.0,44.0,8.0,18.0,11.0,52.0,14.0,12.0,12.0,1.0,68.0,4.0,38.0,27.0,0.0,13.0,1.0,1.0,10.0,13.0,21.0,2.0,2.0,64.0,8.0,5.0,10.0,5.0,7.0,271.0,186.0,82.0,11.0,14.0,1.0,0.0,36.0,6.0,136.0,15.0,34.0,0.0
